state,name,start_date,end_date
HH,Herbstferien,2022-10-10,2022-10-21
HH,Weihnachtsferien,2022-12-23,2023-01-06
HH,Halbjahrespause,2023-01-27,2023-01-27
HH,Frühjahrsferien,2023-03-06,2023-03-17
HH,Pfingstferien,2023-05-15,2023-05-19
HH,Sommerferien,2023-07-13,2023-08-23
HH,Brückentag,2023-10-02,2023-10-02
HH,Herbstferien,2023-10-16,2023-10-27
HH,Weihnachtsferien,2023-12-22,2024-01-05
HH,Halbjahrespause,2024-02-02,2024-02-02
HH,Frühjahrsferien,2024-03-18,2024-03-28
HH,Brückentag,2024-05-10,2024-05-10
HH,Pfingstferien,2024-05-21,2024-05-24
HH,Sommerferien,2024-07-18,2024-08-28
HH,Brückentag,2024-10-04,2024-10-04
HH,Herbstferien,2024-10-21,2024-11-01
HH,Weihnachtsferien,2024-12-20,2025-01-03
HH,Halbjahrespause,2025-01-31,2025-01-31
HH,Frühjahrsferien,2025-03-10,2025-03-21
HH,Brückentag,2025-05-02,2025-05-02
HH,Pfingstferien,2025-05-26,2025-05-30
HH,Sommerferien,2025-07-24,2025-09-03
HH,Herbstferien,2025-10-20,2025-10-31
HH,Weihnachtsferien,2025-12-17,2026-01-02
HH,Halbjahrespause,2026-01-30,2026-01-30
HH,Frühjahrsferien,2026-03-02,2026-03-13
HH,Pfingstferien,2026-05-11,2026-05-15
HH,Sommerferien,2026-07-09,2026-08-19
HH,Herbstferien,2026-10-19,2026-10-30
HH,Weihnachtsferien,2026-12-21,2027-01-01
HH,Halbjahrespause,2027-01-29,2027-01-29
HH,Frühjahrsferien,2027-03-01,2027-03-12
HH,Pfingstferien,2027-05-07,2027-05-14
HH,Sommerferien,2027-07-01,2027-08-11
HH,Herbstferien,2027-10-11,2027-10-22
HH,Weihnachtsferien,2027-12-20,2027-12-31
MV,Winterferien,2022-02-05,2022-02-17
MV,Schulfrei,2022-02-18,2022-02-18
MV,Osterferien,2022-04-11,2022-04-22
MV,Zusätzlicher Ferientag,2022-05-27,2022-05-27
MV,Pfingstferien,2022-06-03,2022-06-07
