date,covid_infection_rate
2021-02-15,60.2
2021-02-16,60.5
2021-02-17,60.6
2021-02-18,60.3
2021-02-19,60.1
2021-02-20,60.3
2021-02-21,62.9
2021-02-22,62.0
2021-02-23,62.1
2021-02-24,63.2
2021-02-25,64.7
2021-02-26,65.5
2021-02-27,66.4
2021-02-28,66.3
2021-03-01,66.8
2021-03-02,67.1
2021-03-03,68.1
2021-03-04,68.1
2021-03-05,68.4
2021-03-06,68.6
2021-03-07,69.4
2021-03-08,69.3
2021-03-09,69.4
2021-03-10,70.1
2021-03-11,73.3
2021-03-12,76.9
2021-03-13,80.3
2021-03-14,82.9
2021-03-15,84.6
2021-03-16,87.0
2021-03-17,92.1
2021-03-18,97.2
2021-03-19,101.5
2021-03-20,105.2
2021-03-21,108.5
2021-03-22,109.8
2021-03-23,112.2
2021-03-24,116.5
2021-03-25,121.6
2021-03-26,127.8
2021-03-27,132.9
2021-03-28,135.9
2021-03-29,137.9
2021-03-30,140.4
2021-03-31,141.5
2021-04-01,143.1
2021-04-02,142.5
2021-04-03,137.1
2021-04-04,130.9
2021-04-05,130.4
2021-04-06,125.7
2021-04-07,115.1
2021-04-08,114.8
2021-04-09,120.0
2021-04-10,129.2
2021-04-11,138.1
2021-04-12,140.1
2021-04-13,146.1
2021-04-14,164.2
2021-04-15,169.9
2021-04-16,169.1
2021-04-17,168.8
2021-04-18,168.4
2021-04-19,168.3
2021-04-20,168.6
2021-04-21,170.0
2021-04-22,171.0
2021-04-23,171.4
2021-04-24,171.3
2021-04-25,171.7
2021-04-26,171.5
2021-04-27,171.4
2021-04-28,168.2
2021-04-29,163.0
2021-04-30,158.2
2021-05-01,153.7
2021-05-02,150.2
2021-05-03,147.8
2021-05-04,144.2
2021-05-05,139.1
2021-05-06,134.1
2021-05-07,129.1
2021-05-08,124.7
2021-05-09,121.1
2021-05-10,119.6
2021-05-11,117.5
2021-05-12,112.5
2021-05-13,107.3
2021-05-14,98.4
2021-05-15,89.2
2021-05-16,85.1
2021-05-17,83.9
2021-05-18,81.3
2021-05-19,76.1
2021-05-20,70.0
2021-05-21,68.5
2021-05-22,68.4
2021-05-23,65.1
2021-05-24,62.4
2021-05-25,58.4
2021-05-26,48.1
2021-05-27,43.2
2021-05-28,41.2
2021-05-29,38.4
2021-05-30,35.9
2021-05-31,35.4
2021-06-01,36.2
2021-06-02,37.9
2021-06-03,34.7
2021-06-04,30.1
2021-06-05,26.7
2021-06-06,25.1
2021-06-07,24.5
2021-06-08,23.7
2021-06-09,21.8
2021-06-10,19.9
2021-06-11,19.1
2021-06-12,18.6
2021-06-13,17.4
2021-06-14,16.7
2021-06-15,15.7
2021-06-16,13.6
2021-06-17,11.9
2021-06-18,10.6
2021-06-19,9.6
2021-06-20,8.9
2021-06-21,8.6
2021-06-22,8.3
2021-06-23,7.5
2021-06-24,6.9
2021-06-25,6.5
2021-06-26,6.1
2021-06-27,5.8
2021-06-28,5.8
2021-06-29,5.7
2021-06-30,5.5
2021-07-01,5.4
2021-07-02,5.3
2021-07-03,5.2
2021-07-04,5.2
2021-07-05,5.2
2021-07-06,5.2
2021-07-07,5.4
2021-07-08,5.5
2021-07-09,5.8
2021-07-10,6.2
2021-07-11,6.5
2021-07-12,6.6
2021-07-13,6.9
2021-07-14,7.8
2021-07-15,8.5
2021-07-16,9.2
2021-07-17,10.0
2021-07-18,10.6
2021-07-19,10.8
2021-07-20,11.6
2021-07-21,12.2
2021-07-22,13.0
2021-07-23,13.9
2021-07-24,14.5
2021-07-25,14.8
2021-07-26,15.0
2021-07-27,15.3
2021-07-28,16.2
2021-07-29,16.8
2021-07-30,17.3
2021-07-31,17.8
2021-08-01,18.2
2021-08-02,18.4
2021-08-03,18.9
2021-08-04,19.7
2021-08-05,20.5
2021-08-06,21.6
2021-08-07,22.8
2021-08-08,23.8
2021-08-09,24.2
2021-08-10,25.2
2021-08-11,27.3
2021-08-12,29.8
2021-08-13,32.1
2021-08-14,34.7
2021-08-15,36.9
2021-08-16,38.0
